 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(10, 2)" -1.435 0.4568 0.0314 -2.3441 -0.5682 175.4865 1.0026
"p((10, 2))_0" 0.4865 0.2246 0.0124 0.0759 0.8793 281.3943 1.0026
"p((10, 2))_1" 0.2898 0.0974 0.0064 0.1092 0.4803 200.0949 1.003
"p((10, 2))_2" 0.2544 0.0956 0.0067 0.0834 0.4507 164.5448 1.0046
"p((10, 2))_3" 0.2483 0.0956 0.0068 0.0788 0.4451 158.6173 1.005
"p((10, 2))_4" 0.2472 0.0955 0.0068 0.0785 0.444 157.4262 1.0051
"p((10, 2))_5" 0.247 0.0955 0.0068 0.0784 0.444 157.1867 1.0051
"p((10, 2))_6" 0.2469 0.0955 0.0068 0.0784 0.4441 157.1376 1.0051
"p((10, 2))_7" 0.2469 0.0955 0.0068 0.0784 0.4441 157.1274 1.0051
"p((10, 2))_8" 0.2469 0.0955 0.0068 0.0784 0.4441 157.1253 1.0051
"p((10, 2))_9" 0.2469 0.0955 0.0068 0.0784 0.4441 157.1248 1.0051
"p((10, 2))_10" 0.2469 0.0955 0.0068 0.0784 0.4442 157.1247 1.0051
