 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(6, 2)" -1.5782 0.3232 0.021 -2.2191 -1.0038 136.0886 1.0014
"p((6, 2))_0" 0.4936 0.2029 0.015 0.0747 0.8391 62.4061 1.0436
"p((6, 2))_1" 0.2597 0.0713 0.0048 0.1133 0.395 105.8702 1.0079
"p((6, 2))_2" 0.218 0.0616 0.004 0.1007 0.3314 136.3308 1.0013
"p((6, 2))_3" 0.2111 0.0601 0.0039 0.0994 0.3237 137.111 1.0015
"p((6, 2))_4" 0.2099 0.0597 0.0039 0.0992 0.3221 136.9996 1.0016
"p((6, 2))_5" 0.2097 0.0596 0.0039 0.0992 0.3217 136.9558 1.0016
"p((6, 2))_6" 0.2096 0.0596 0.0039 0.0976 0.3201 136.9443 1.0016
"p((6, 2))_7" 0.2096 0.0596 0.0039 0.0976 0.3201 136.9415 1.0016
"p((6, 2))_8" 0.2096 0.0596 0.0039 0.0976 0.32 136.9408 1.0016
"p((6, 2))_9" 0.2096 0.0596 0.0039 0.0976 0.32 136.9407 1.0016
"p((6, 2))_10" 0.2096 0.0596 0.0039 0.0976 0.32 136.9406 1.0016
