 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(33, 3)" -1.1282 0.4299 0.0054 -1.967 -0.2814 5697.0397 1.0001
"p((33, 3))_0" 0.4796 0.2185 0.0031 0.0947 0.89 5568.4789 0.9997
"p((33, 3))_1" 0.3503 0.1004 0.0012 0.1609 0.5466 5904.1922 1.0
"p((33, 3))_2" 0.3246 0.108 0.0013 0.1269 0.5378 5832.4967 1.0
"p((33, 3))_3" 0.3198 0.1108 0.0014 0.1259 0.547 5802.8811 1.0
"p((33, 3))_4" 0.3189 0.1114 0.0014 0.1189 0.5411 5794.6354 1.0
"p((33, 3))_5" 0.3187 0.1115 0.0014 0.1186 0.5406 5792.5521 1.0
"p((33, 3))_6" 0.3187 0.1115 0.0014 0.1186 0.5406 5792.0435 1.0
"p((33, 3))_7" 0.3187 0.1115 0.0014 0.1186 0.5407 5791.9206 1.0
"p((33, 3))_8" 0.3187 0.1115 0.0014 0.1192 0.5412 5791.8911 1.0
"p((33, 3))_9" 0.3187 0.1115 0.0014 0.1192 0.5412 5791.8839 1.0
"p((33, 3))_10" 0.3187 0.1115 0.0014 0.1192 0.5412 5791.8822 1.0
