 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(35, 3)" -1.5719 0.547 0.0081 -2.6979 -0.5475 5117.1877 1.0002
"p((35, 3))_0" 0.4838 0.2212 0.0028 0.1055 0.9082 6195.9852 1.0
"p((35, 3))_1" 0.2664 0.1053 0.0014 0.068 0.4613 5968.5433 0.9999
"p((35, 3))_2" 0.2313 0.1063 0.0015 0.051 0.4465 5613.3046 0.9999
"p((35, 3))_3" 0.2258 0.1064 0.0015 0.0497 0.445 5540.4884 0.9999
"p((35, 3))_4" 0.2249 0.1063 0.0015 0.0554 0.4503 5529.194 0.9999
"p((35, 3))_5" 0.2248 0.1063 0.0015 0.0372 0.4322 5527.3855 0.9999
"p((35, 3))_6" 0.2248 0.1063 0.0015 0.037 0.4321 5527.0988 0.9999
"p((35, 3))_7" 0.2247 0.1063 0.0015 0.037 0.4321 5527.0543 0.9999
"p((35, 3))_8" 0.2247 0.1063 0.0015 0.037 0.4321 5527.0477 0.9999
"p((35, 3))_9" 0.2247 0.1063 0.0015 0.037 0.4321 5527.0468 0.9999
"p((35, 3))_10" 0.2247 0.1063 0.0015 0.037 0.4321 5527.0467 0.9999
