 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(31, 1)" 0.0208 0.9971 0.0141 -1.9262 1.9685 6293.2713 1.0
"p((31, 1))_0" 0.5002 0.2201 0.0027 0.1091 0.9094 6451.3763 1.0002
"p((31, 1))_1" 0.6058 0.2043 0.003 0.2161 0.9476 6173.7398 1.0001
"p((31, 1))_2" 0.6211 0.227 0.0033 0.191 0.9739 6163.7069 1.0
"p((31, 1))_3" 0.6233 0.231 0.0034 0.1833 0.9722 6159.3063 1.0
"p((31, 1))_4" 0.6237 0.2317 0.0034 0.1834 0.9736 6158.5503 1.0
"p((31, 1))_5" 0.6238 0.2318 0.0034 0.1833 0.9736 6158.4976 1.0
"p((31, 1))_6" 0.6238 0.2318 0.0034 0.1833 0.9736 6158.515 1.0
"p((31, 1))_7" 0.6238 0.2318 0.0034 0.1833 0.9736 6158.5254 1.0
"p((31, 1))_8" 0.6238 0.2318 0.0034 0.1833 0.9736 6158.5292 1.0
"p((31, 1))_9" 0.6238 0.2318 0.0034 0.1833 0.9736 6158.5303 1.0
"p((31, 1))_10" 0.6238 0.2318 0.0034 0.1833 0.9736 6158.5306 1.0
