 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(44, 3)" -1.5346 0.4163 0.033 -2.3547 -0.7572 77.6945 1.0368
"p((44, 3))_0" 0.5627 0.2072 0.0177 0.134 0.8612 9.0297 1.2402
"p((44, 3))_1" 0.2842 0.0905 0.0075 0.1099 0.4559 31.3125 1.1052
"p((44, 3))_2" 0.2339 0.0828 0.0067 0.0778 0.3951 64.3166 1.0419
"p((44, 3))_3" 0.2253 0.0808 0.0065 0.0718 0.3784 67.3261 1.0352
"p((44, 3))_4" 0.2238 0.0802 0.0065 0.0742 0.3779 67.8282 1.0342
"p((44, 3))_5" 0.2235 0.0801 0.0064 0.074 0.3766 67.9406 1.034
"p((44, 3))_6" 0.2235 0.08 0.0064 0.074 0.3764 67.9659 1.034
"p((44, 3))_7" 0.2235 0.08 0.0064 0.074 0.3764 67.9715 1.034
"p((44, 3))_8" 0.2235 0.08 0.0064 0.074 0.3763 67.9727 1.034
"p((44, 3))_9" 0.2235 0.08 0.0064 0.074 0.3763 67.973 1.034
"p((44, 3))_10" 0.2235 0.08 0.0064 0.074 0.3763 67.973 1.034
