 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(30, 1)" 0.0052 1.0055 0.0141 -1.9165 1.9751 5823.53 1.0
"p((30, 1))_0" 0.5032 0.226 0.0032 0.1111 0.929 5824.9209 0.9997
"p((30, 1))_1" 0.6022 0.2061 0.003 0.2244 0.9506 5712.85 1.0
"p((30, 1))_2" 0.6159 0.2298 0.0033 0.1809 0.9629 5810.3342 1.0
"p((30, 1))_3" 0.6178 0.2339 0.0033 0.1783 0.9684 5820.4944 1.0
"p((30, 1))_4" 0.6181 0.2346 0.0033 0.18 0.9713 5822.2645 1.0
"p((30, 1))_5" 0.6182 0.2348 0.0033 0.1801 0.9714 5822.6911 1.0
"p((30, 1))_6" 0.6182 0.2348 0.0033 0.1801 0.9714 5822.8019 1.0
"p((30, 1))_7" 0.6182 0.2348 0.0033 0.1801 0.9714 5822.8305 1.0
"p((30, 1))_8" 0.6182 0.2348 0.0033 0.1801 0.9714 5822.8377 1.0
"p((30, 1))_9" 0.6182 0.2348 0.0033 0.1801 0.9714 5822.8395 1.0
"p((30, 1))_10" 0.6182 0.2348 0.0033 0.1801 0.9714 5822.8399 1.0
