 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(5, 2)" 0.8226 0.6746 0.0079 -0.5378 2.1184 5771.717 0.9998
"p((5, 2))_0" 0.5315 0.2205 0.0024 0.1293 0.9359 5665.1647 0.9998
"p((5, 2))_1" 0.775 0.1088 0.0013 0.5617 0.9607 6201.2969 0.9999
"p((5, 2))_2" 0.8065 0.1146 0.0014 0.5768 0.979 5892.8749 0.9999
"p((5, 2))_3" 0.8105 0.1155 0.0015 0.5763 0.9785 5802.9734 0.9999
"p((5, 2))_4" 0.811 0.1156 0.0015 0.5768 0.9785 5783.1475 0.9999
"p((5, 2))_5" 0.8111 0.1157 0.0015 0.5766 0.9784 5778.8932 0.9999
"p((5, 2))_6" 0.8111 0.1157 0.0015 0.5767 0.9785 5777.9681 0.9999
"p((5, 2))_7" 0.8111 0.1157 0.0015 0.5767 0.9785 5777.7627 0.9999
"p((5, 2))_8" 0.8111 0.1157 0.0015 0.5767 0.9785 5777.7162 0.9999
"p((5, 2))_9" 0.8111 0.1157 0.0015 0.5767 0.9785 5777.7056 0.9999
"p((5, 2))_10" 0.8111 0.1157 0.0015 0.5767 0.9785 5777.7031 0.9999
