 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(43, 3)" -0.9415 0.9436 0.0926 -2.6626 0.4177 2.386 2.8848
"p((43, 3))_0" 0.5516 0.2085 0.0198 0.031 0.8287 5.1637 1.4576
"p((43, 3))_1" 0.4222 0.2007 0.0199 0.1129 0.7549 2.3471 3.0576
"p((43, 3))_2" 0.4059 0.2241 0.0223 0.0683 0.7414 2.3264 3.2195
"p((43, 3))_3" 0.4039 0.2277 0.0227 0.0619 0.7443 2.3364 3.1898
"p((43, 3))_4" 0.4036 0.2283 0.0227 0.0599 0.7445 2.3393 3.1802
"p((43, 3))_5" 0.4035 0.2284 0.0227 0.0601 0.7451 2.34 3.178
"p((43, 3))_6" 0.4035 0.2284 0.0227 0.0601 0.7452 2.3401 3.1775
"p((43, 3))_7" 0.4035 0.2284 0.0227 0.0582 0.7433 2.3401 3.1774
"p((43, 3))_8" 0.4035 0.2285 0.0227 0.0582 0.7433 2.3401 3.1773
"p((43, 3))_9" 0.4035 0.2285 0.0227 0.0582 0.7433 2.3401 3.1773
"p((43, 3))_10" 0.4035 0.2285 0.0227 0.0582 0.7433 2.3401 3.1773
