 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(51, 3)" -0.0078 1.0077 0.0112 -2.0067 1.9099 5680.1044 0.9997
"p((51, 3))_0" 0.5002 0.2261 0.0029 0.0963 0.9112 5413.155 0.9997
"p((51, 3))_1" 0.5991 0.208 0.0024 0.2126 0.9505 5655.2009 0.9998
"p((51, 3))_2" 0.613 0.2312 0.0026 0.1871 0.9708 5532.982 0.9998
"p((51, 3))_3" 0.615 0.2353 0.0027 0.1813 0.9713 5502.4746 0.9998
"p((51, 3))_4" 0.6153 0.2359 0.0027 0.1799 0.9704 5495.1767 0.9998
"p((51, 3))_5" 0.6154 0.2361 0.0027 0.1799 0.9704 5493.4649 0.9998
"p((51, 3))_6" 0.6154 0.2361 0.0027 0.1799 0.9704 5493.0647 0.9998
"p((51, 3))_7" 0.6154 0.2361 0.0027 0.1799 0.9704 5492.9709 0.9998
"p((51, 3))_8" 0.6154 0.2361 0.0027 0.1799 0.9704 5492.9488 0.9998
"p((51, 3))_9" 0.6154 0.2361 0.0027 0.1799 0.9704 5492.9435 0.9998
"p((51, 3))_10" 0.6154 0.2361 0.0027 0.1799 0.9704 5492.9423 0.9998
