 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(37, 3)" -1.4 0.4061 0.0303 -2.2494 -0.6946 85.6286 1.0332
"p((37, 3))_0" 0.5278 0.2154 0.0185 0.2052 0.9888 40.1259 1.0805
"p((37, 3))_1" 0.3026 0.0874 0.0066 0.1266 0.4661 88.5085 1.0141
"p((37, 3))_2" 0.2606 0.0886 0.0066 0.1006 0.4272 92.3953 1.0301
"p((37, 3))_3" 0.2533 0.0891 0.0067 0.098 0.4211 89.1217 1.0348
"p((37, 3))_4" 0.252 0.089 0.0067 0.0968 0.4194 88.4474 1.0356
"p((37, 3))_5" 0.2518 0.089 0.0067 0.0968 0.4191 88.3229 1.0358
"p((37, 3))_6" 0.2517 0.089 0.0067 0.0939 0.4163 88.3001 1.0358
"p((37, 3))_7" 0.2517 0.089 0.0067 0.0939 0.4163 88.2959 1.0358
"p((37, 3))_8" 0.2517 0.089 0.0067 0.0939 0.4163 88.2951 1.0358
"p((37, 3))_9" 0.2517 0.089 0.0067 0.0939 0.4163 88.2949 1.0358
"p((37, 3))_10" 0.2517 0.089 0.0067 0.0939 0.4163 88.2949 1.0358
