 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(13, 3)" -0.4769 0.5547 0.014 -1.5095 0.6653 1446.8347 1.0008
"p((13, 3))_0" 0.4758 0.2217 0.0047 0.0849 0.8854 2267.455 1.0026
"p((13, 3))_1" 0.4995 0.1364 0.0032 0.2421 0.7624 1601.8376 1.0017
"p((13, 3))_2" 0.5047 0.1539 0.0037 0.2127 0.7949 1584.2789 1.0008
"p((13, 3))_3" 0.5058 0.1587 0.0038 0.2138 0.8106 1595.6606 1.0006
"p((13, 3))_4" 0.506 0.1598 0.0039 0.2127 0.8118 1599.9605 1.0006
"p((13, 3))_5" 0.5061 0.16 0.0039 0.2151 0.8145 1601.0728 1.0006
"p((13, 3))_6" 0.5061 0.1601 0.0039 0.2151 0.8146 1601.3404 1.0006
"p((13, 3))_7" 0.5061 0.1601 0.0039 0.2151 0.8146 1601.4032 1.0006
"p((13, 3))_8" 0.5061 0.1601 0.0039 0.2151 0.8146 1601.4179 1.0006
"p((13, 3))_9" 0.5061 0.1601 0.0039 0.2151 0.8146 1601.4213 1.0006
"p((13, 3))_10" 0.5061 0.1601 0.0039 0.2151 0.8146 1601.4221 1.0006
