 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(23, 1)" -0.0092 0.9729 0.0117 -1.886 1.9198 5787.3866 0.9999
"p((23, 1))_0" 0.4984 0.2214 0.0032 0.0893 0.8864 5844.6141 1.0008
"p((23, 1))_1" 0.6003 0.2007 0.0025 0.2222 0.9417 5741.8921 0.9999
"p((23, 1))_2" 0.615 0.2248 0.0027 0.1963 0.9695 5794.3041 0.9999
"p((23, 1))_3" 0.6171 0.229 0.0028 0.1952 0.9746 5805.5428 0.9998
"p((23, 1))_4" 0.6175 0.2298 0.0028 0.1947 0.9751 5807.8804 0.9998
"p((23, 1))_5" 0.6176 0.2299 0.0028 0.1944 0.9751 5808.408 0.9998
"p((23, 1))_6" 0.6176 0.2299 0.0028 0.1944 0.9751 5808.533 0.9998
"p((23, 1))_7" 0.6176 0.2299 0.0028 0.1944 0.9751 5808.5634 0.9998
"p((23, 1))_8" 0.6176 0.2299 0.0028 0.1944 0.9751 5808.5708 0.9998
"p((23, 1))_9" 0.6176 0.2299 0.0028 0.1944 0.9751 5808.5727 0.9998
"p((23, 1))_10" 0.6176 0.2299 0.0028 0.1944 0.9751 5808.5731 0.9998
