 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(7, 3)" -1.5427 0.216 0.0111 -1.9581 -1.1086 290.6282 1.0067
"p((7, 3))_0" 0.4739 0.2249 0.0123 0.07 0.8911 274.3792 1.0073
"p((7, 3))_1" 0.2596 0.0562 0.0032 0.1595 0.3746 242.5421 1.0012
"p((7, 3))_2" 0.2201 0.0433 0.0023 0.1358 0.3054 264.6859 1.0047
"p((7, 3))_3" 0.2135 0.0429 0.0023 0.1319 0.3015 274.4664 1.0061
"p((7, 3))_4" 0.2125 0.0428 0.0023 0.1335 0.3023 276.6429 1.0063
"p((7, 3))_5" 0.2123 0.0428 0.0023 0.1335 0.3021 277.1096 1.0064
"p((7, 3))_6" 0.2122 0.0427 0.0023 0.1335 0.3021 277.2095 1.0064
"p((7, 3))_7" 0.2122 0.0427 0.0023 0.1335 0.3021 277.2308 1.0064
"p((7, 3))_8" 0.2122 0.0427 0.0023 0.1335 0.3021 277.2353 1.0064
"p((7, 3))_9" 0.2122 0.0427 0.0023 0.1335 0.3021 277.2362 1.0064
"p((7, 3))_10" 0.2122 0.0427 0.0023 0.1335 0.3021 277.2364 1.0064
