 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(43, 1)" 0.0108 1.0014 0.0141 -2.0125 1.9134 6054.5111 0.9998
"p((43, 1))_0" 0.5029 0.2209 0.0026 0.0928 0.8982 6450.4039 1.0
"p((43, 1))_1" 0.6032 0.2044 0.0029 0.221 0.9506 6163.2526 0.9999
"p((43, 1))_2" 0.6173 0.2281 0.0032 0.1909 0.9715 6126.855 0.9999
"p((43, 1))_3" 0.6193 0.2323 0.0032 0.1841 0.9717 6115.0428 0.9999
"p((43, 1))_4" 0.6196 0.233 0.0032 0.1829 0.9718 6111.9959 0.9999
"p((43, 1))_5" 0.6197 0.2331 0.0032 0.1827 0.9718 6111.2876 0.9999
"p((43, 1))_6" 0.6197 0.2331 0.0032 0.1827 0.9718 6111.1275 0.9999
"p((43, 1))_7" 0.6197 0.2331 0.0032 0.1827 0.9718 6111.0914 0.9999
"p((43, 1))_8" 0.6197 0.2331 0.0032 0.1827 0.9718 6111.0832 0.9999
"p((43, 1))_9" 0.6197 0.2331 0.0032 0.1827 0.9718 6111.0813 0.9999
"p((43, 1))_10" 0.6197 0.2331 0.0032 0.1827 0.9718 6111.0808 0.9999
