 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(34, 1)" -0.027 0.9977 0.0135 -2.1403 1.8014 5785.3277 0.9998
"p((34, 1))_0" 0.497 0.2255 0.0034 0.0962 0.9039 5856.5612 0.9999
"p((34, 1))_1" 0.5963 0.2054 0.0028 0.21 0.9443 5685.9066 0.9998
"p((34, 1))_2" 0.6109 0.2302 0.0031 0.1758 0.9678 5787.848 0.9998
"p((34, 1))_3" 0.6131 0.2345 0.0032 0.1681 0.9682 5789.1272 0.9998
"p((34, 1))_4" 0.6134 0.2352 0.0032 0.1632 0.9644 5789.5077 0.9998
"p((34, 1))_5" 0.6135 0.2353 0.0032 0.163 0.9644 5789.6931 0.9998
"p((34, 1))_6" 0.6135 0.2353 0.0032 0.1629 0.9644 5789.7618 0.9998
"p((34, 1))_7" 0.6135 0.2353 0.0032 0.1629 0.9644 5789.7834 0.9998
"p((34, 1))_8" 0.6135 0.2353 0.0032 0.1629 0.9644 5789.7896 0.9998
"p((34, 1))_9" 0.6135 0.2353 0.0032 0.1629 0.9644 5789.7913 0.9998
"p((34, 1))_10" 0.6135 0.2353 0.0032 0.1629 0.9644 5789.7917 0.9998
