 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(19, 1)" -0.0145 1.0219 0.0123 -2.0825 1.9119 5668.8224 0.9999
"p((19, 1))_0" 0.4964 0.2237 0.0028 0.0821 0.8946 5744.9321 0.9997
"p((19, 1))_1" 0.5967 0.2087 0.0025 0.2186 0.9584 5563.7907 0.9999
"p((19, 1))_2" 0.6107 0.2323 0.0027 0.1921 0.9826 5531.2849 0.9999
"p((19, 1))_3" 0.6127 0.2364 0.0028 0.1795 0.9769 5527.2384 0.9999
"p((19, 1))_4" 0.613 0.2371 0.0028 0.1783 0.9759 5527.0169 0.9999
"p((19, 1))_5" 0.613 0.2372 0.0028 0.1783 0.976 5527.1124 0.9999
"p((19, 1))_6" 0.6131 0.2372 0.0028 0.1783 0.976 5527.1625 0.9999
"p((19, 1))_7" 0.6131 0.2372 0.0028 0.1782 0.976 5527.1794 0.9999
"p((19, 1))_8" 0.6131 0.2372 0.0028 0.1782 0.976 5527.1844 0.9999
"p((19, 1))_9" 0.6131 0.2372 0.0028 0.1782 0.976 5527.1857 0.9999
"p((19, 1))_10" 0.6131 0.2372 0.0028 0.1782 0.976 5527.1861 0.9999
