 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(19, 4)" -1.4057 0.3802 0.0296 -2.1635 -0.7435 73.1461 1.0633
"p((19, 4))_0" 0.4663 0.2199 0.0194 0.0878 0.87 25.4945 1.0619
"p((19, 4))_1" 0.2901 0.0931 0.0078 0.1357 0.4751 33.9228 1.1119
"p((19, 4))_2" 0.2565 0.0836 0.0066 0.1093 0.4125 62.3998 1.0725
"p((19, 4))_3" 0.2503 0.082 0.0064 0.1 0.4005 70.3444 1.0612
"p((19, 4))_4" 0.2492 0.0815 0.0064 0.1019 0.4019 72.1402 1.0588
"p((19, 4))_5" 0.2489 0.0814 0.0064 0.1044 0.404 72.5283 1.0583
"p((19, 4))_6" 0.2489 0.0814 0.0064 0.1044 0.4038 72.6121 1.0582
"p((19, 4))_7" 0.2489 0.0814 0.0064 0.1044 0.4038 72.6304 1.0581
"p((19, 4))_8" 0.2489 0.0814 0.0064 0.1044 0.4038 72.6344 1.0581
"p((19, 4))_9" 0.2489 0.0814 0.0064 0.1044 0.4038 72.6353 1.0581
"p((19, 4))_10" 0.2489 0.0814 0.0064 0.1044 0.4038 72.6355 1.0581
