 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(50, 3)" -0.6853 0.586 0.0189 -1.8905 0.4038 873.1812 1.0004
"p((50, 3))_0" 0.4753 0.2261 0.0068 0.0861 0.8966 987.568 1.004
"p((50, 3))_1" 0.4524 0.143 0.005 0.1881 0.7278 748.3737 0.9997
"p((50, 3))_2" 0.4486 0.161 0.0054 0.1584 0.7561 804.3297 1.0002
"p((50, 3))_3" 0.448 0.166 0.0055 0.1479 0.7579 819.2962 1.0004
"p((50, 3))_4" 0.448 0.167 0.0055 0.1469 0.7588 822.65 1.0004
"p((50, 3))_5" 0.448 0.1673 0.0055 0.1442 0.7568 823.3986 1.0004
"p((50, 3))_6" 0.448 0.1673 0.0055 0.1442 0.7568 823.5676 1.0004
"p((50, 3))_7" 0.448 0.1673 0.0055 0.1442 0.7568 823.6064 1.0004
"p((50, 3))_8" 0.448 0.1673 0.0055 0.1442 0.7568 823.6154 1.0004
"p((50, 3))_9" 0.448 0.1673 0.0055 0.1442 0.7568 823.6175 1.0004
"p((50, 3))_10" 0.448 0.1673 0.0055 0.1442 0.7568 823.618 1.0004
