 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(65, 3)" 0.0113 1.0144 0.0137 -2.1039 1.8386 5277.3366 0.9998
"p((65, 3))_0" 0.5022 0.2246 0.0033 0.0978 0.901 4847.5515 1.0016
"p((65, 3))_1" 0.6035 0.2083 0.0029 0.1989 0.9398 5252.6187 1.0
"p((65, 3))_2" 0.6175 0.2314 0.0032 0.1798 0.9694 5278.7153 0.9998
"p((65, 3))_3" 0.6195 0.2354 0.0033 0.1808 0.9774 5274.6749 0.9998
"p((65, 3))_4" 0.6198 0.2361 0.0033 0.1639 0.9616 5273.335 0.9998
"p((65, 3))_5" 0.6198 0.2363 0.0033 0.1639 0.9616 5273.0348 0.9998
"p((65, 3))_6" 0.6199 0.2363 0.0033 0.1639 0.9616 5272.9724 0.9998
"p((65, 3))_7" 0.6199 0.2363 0.0033 0.1639 0.9616 5272.9596 0.9998
"p((65, 3))_8" 0.6199 0.2363 0.0033 0.1639 0.9616 5272.957 0.9998
"p((65, 3))_9" 0.6199 0.2363 0.0033 0.1639 0.9616 5272.9565 0.9998
"p((65, 3))_10" 0.6199 0.2363 0.0033 0.1639 0.9616 5272.9564 0.9998
