 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(2, 4)" -1.7785 0.2903 0.0104 -2.3379 -1.2135 720.4333 1.002
"p((2, 4))_0" 0.481 0.2248 0.0076 0.0854 0.8979 843.9794 1.0016
"p((2, 4))_1" 0.2206 0.0603 0.0025 0.113 0.3489 490.4098 1.001
"p((2, 4))_2" 0.1792 0.0484 0.0019 0.0914 0.2756 590.9468 1.0017
"p((2, 4))_3" 0.1733 0.0472 0.0018 0.0876 0.2678 636.5933 1.0016
"p((2, 4))_4" 0.1724 0.0469 0.0018 0.0872 0.2663 645.819 1.0016
"p((2, 4))_5" 0.1723 0.0468 0.0018 0.0873 0.2661 647.5537 1.0016
"p((2, 4))_6" 0.1722 0.0468 0.0018 0.0873 0.266 647.8803 1.0016
"p((2, 4))_7" 0.1722 0.0468 0.0018 0.0873 0.266 647.9422 1.0016
"p((2, 4))_8" 0.1722 0.0468 0.0018 0.0873 0.266 647.9541 1.0016
"p((2, 4))_9" 0.1722 0.0468 0.0018 0.0873 0.266 647.9564 1.0016
"p((2, 4))_10" 0.1722 0.0468 0.0018 0.0873 0.266 647.9568 1.0016
