 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(5, 4)" -0.4462 0.5198 0.0062 -1.5058 0.5348 5466.1742 0.9997
"p((5, 4))_0" 0.4568 0.2183 0.0028 0.0782 0.8783 5888.2491 0.9998
"p((5, 4))_1" 0.5023 0.1236 0.0014 0.2758 0.7544 5540.0975 0.9998
"p((5, 4))_2" 0.5126 0.1455 0.0017 0.2396 0.7909 5530.316 0.9998
"p((5, 4))_3" 0.5149 0.1516 0.0018 0.2316 0.8012 5548.5251 0.9997
"p((5, 4))_4" 0.5154 0.1529 0.0018 0.2273 0.8005 5554.4955 0.9997
"p((5, 4))_5" 0.5156 0.1531 0.0018 0.2278 0.8013 5556.1242 0.9997
"p((5, 4))_6" 0.5156 0.1532 0.0018 0.2281 0.8016 5556.5424 0.9997
"p((5, 4))_7" 0.5156 0.1532 0.0018 0.2281 0.8016 5556.6468 0.9997
"p((5, 4))_8" 0.5156 0.1532 0.0018 0.2281 0.8016 5556.6725 0.9997
"p((5, 4))_9" 0.5156 0.1532 0.0018 0.2281 0.8016 5556.6788 0.9997
"p((5, 4))_10" 0.5156 0.1532 0.0018 0.2281 0.8016 5556.6803 0.9997
