 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(66, 3)" -0.0123 1.0029 0.0119 -1.8418 1.981 6187.5618 0.9999
"p((66, 3))_0" 0.496 0.224 0.0028 0.0923 0.9042 5722.3843 1.0004
"p((66, 3))_1" 0.5985 0.2067 0.0024 0.2202 0.9466 6130.1622 1.0001
"p((66, 3))_2" 0.6133 0.2311 0.0028 0.1794 0.958 6091.3646 1.0
"p((66, 3))_3" 0.6155 0.2354 0.0028 0.1742 0.9605 6077.853 0.9999
"p((66, 3))_4" 0.6159 0.2361 0.0028 0.1718 0.9592 6074.3556 0.9999
"p((66, 3))_5" 0.6159 0.2362 0.0028 0.1714 0.9592 6073.5318 0.9999
"p((66, 3))_6" 0.6159 0.2363 0.0028 0.1714 0.9592 6073.3417 0.9999
"p((66, 3))_7" 0.6159 0.2363 0.0028 0.1714 0.9592 6073.2978 0.9999
"p((66, 3))_8" 0.6159 0.2363 0.0028 0.1714 0.9592 6073.2876 0.9999
"p((66, 3))_9" 0.6159 0.2363 0.0028 0.1714 0.9592 6073.2852 0.9999
"p((66, 3))_10" 0.6159 0.2363 0.0028 0.1714 0.9592 6073.2846 0.9999
