 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(3, 2)" 0.1633 0.5111 0.0066 -0.8011 1.2031 5551.0591 1.0002
"p((3, 2))_0" 0.6002 0.2139 0.0027 0.2081 0.9718 5286.1279 1.0
"p((3, 2))_1" 0.6726 0.1059 0.0013 0.4743 0.8777 5465.547 1.0
"p((3, 2))_2" 0.684 0.1227 0.0016 0.4518 0.9071 5534.2971 1.0
"p((3, 2))_3" 0.6854 0.1273 0.0016 0.4427 0.9125 5536.7884 1.0
"p((3, 2))_4" 0.6855 0.1283 0.0017 0.4413 0.9131 5536.6363 1.0
"p((3, 2))_5" 0.6855 0.1285 0.0017 0.4391 0.9115 5536.5579 1.0
"p((3, 2))_6" 0.6855 0.1285 0.0017 0.4391 0.9115 5536.5382 1.0
"p((3, 2))_7" 0.6855 0.1285 0.0017 0.439 0.9115 5536.5337 1.0
"p((3, 2))_8" 0.6855 0.1285 0.0017 0.439 0.9115 5536.5327 1.0
"p((3, 2))_9" 0.6855 0.1285 0.0017 0.439 0.9115 5536.5325 1.0
"p((3, 2))_10" 0.6855 0.1286 0.0017 0.439 0.9115 5536.5325 1.0
