 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(46, 1)" 0.0136 0.994 0.013 -1.9668 1.8839 5929.8039 0.9997
"p((46, 1))_0" 0.5008 0.2219 0.0028 0.0881 0.8997 6198.8325 1.0
"p((46, 1))_1" 0.6042 0.2044 0.0027 0.2297 0.9555 6115.5606 0.9998
"p((46, 1))_2" 0.6187 0.2274 0.0029 0.1895 0.9661 5991.4917 0.9998
"p((46, 1))_3" 0.6208 0.2315 0.003 0.1899 0.9737 5959.3269 0.9998
"p((46, 1))_4" 0.6211 0.2322 0.003 0.1868 0.9713 5951.5604 0.9998
"p((46, 1))_5" 0.6212 0.2323 0.003 0.1866 0.9713 5949.7831 0.9998
"p((46, 1))_6" 0.6212 0.2324 0.003 0.1865 0.9713 5949.3825 0.9998
"p((46, 1))_7" 0.6212 0.2324 0.003 0.1865 0.9713 5949.2921 0.9998
"p((46, 1))_8" 0.6212 0.2324 0.003 0.1865 0.9713 5949.2717 0.9998
"p((46, 1))_9" 0.6212 0.2324 0.003 0.1865 0.9713 5949.267 0.9998
"p((46, 1))_10" 0.6212 0.2324 0.003 0.1865 0.9713 5949.2659 0.9998
