w_(34, 1)	-2.378810377117256
w_(74, 3)	-8.675704345499554
w_(6, 2)	-20.78161121952204
w_(13, 4)	-3.738911338665914
w_(44, 3)	-36.75053031822214
w_(20, 4)	-12.779703999320422
w_(11, 4)	-9.800856847643743
w_(23, 4)	-30.06316150650916
w_(16, 3)	-6.635855011510558
w_(3, 1)	-13.09003555455761
w_(64, 3)	-44.55738903545741
w_(37, 3)	-14.499823650081792
w_(24, 4)	-11.55436196410179
w_(20, 3)	-3.051199079361452
w_(4, 4)	-4.873626658957926
w_(5, 1)	-1.762212313262122
w_(8, 3)	-6.659978962590886
w_(7, 3)	-25.188592015705307
w_(26, 4)	-14.94228157794058
w_(39, 3)	-11.495720825935676
w_(29, 3)	-15.301906566259856
w_(46, 3)	-3.9687675206115145
w_(27, 3)	-2.928086848916
w_(15, 3)	-3.1858121247844675
w_(48, 3)	-2.6926273610194915
w_(45, 3)	-5.783666045824094
w_(53, 3)	-20.499544150428402
w_(22, 4)	-4.5357799869565225
w_(1, 3)	-2.5883141768018008
w_(2, 3)	-4.07647810347832
w_(25, 4)	-14.290001972565584
w_(63, 3)	-9.71947360865313
w_(28, 1)	-5.361154574102249
w_(40, 1)	-31.080970628723414
w_(19, 1)	-3.841038296568626
w_(33, 3)	-2.8109220937079527
w_(18, 1)	-8.118660042198716
w_(12, 4)	-3.456170226763109
w_(42, 1)	-24.265905010543577
w_(51, 3)	-39.424028447391386
w_(0, 3)	-11.581364457370315
w_(13, 2)	-4.216636851883906
w_(34, 3)	-17.603108603715526
w_(25, 3)	-3.5910363574016015
w_(2, 4)	-10.153192371211022
w_(67, 3)	-43.439562300959416
w_(52, 3)	-94.77384111839622
w_(6, 3)	-6.664462554176237
w_(43, 3)	0.0
w_(1, 2)	-1.3916146383231438
w_(44, 1)	-32.02021734896249
w_(70, 3)	0.0
w_(12, 2)	-20.100767665505433
w_(60, 3)	-16.45857287904269
w_(2, 2)	-19.497968285522244
w_(15, 4)	-8.790065591287483
w_(16, 1)	-6.7642860402930385
w_(9, 3)	-5.555093022975479
w_(9, 2)	-1.6407922344780728
w_(4, 2)	-0.7099441946640319
w_(17, 4)	-29.69006317276286
w_(5, 3)	-2.495627516164596
w_(8, 1)	-11.488019017305735
w_(56, 3)	-13.317204900924027
w_(38, 1)	-22.482441130656767
w_(7, 1)	-12.591649917738602
w_(0, 1)	-10.714243996261343
w_(10, 4)	-8.66560823223587
w_(13, 3)	-1.8076481544045788
w_(26, 3)	-0.22574282682638258
w_(36, 3)	-4.223704968274864
w_(39, 1)	-22.757649161076007
w_(29, 1)	-1.8547435416409197
w_(19, 4)	-32.522305027420806
w_(48, 1)	-52.34824152186541
w_(7, 2)	-3.4625634809949215
w_(73, 3)	-47.50436043654709
w_(68, 3)	-16.280554692799363
w_(19, 3)	-5.735827849469818
w_(4, 3)	-5.488707021933078
w_(5, 2)	-0.0006257421874997782
w_(42, 3)	0.0
w_(38, 3)	-18.85369573415682
w_(66, 3)	-40.68339447075913
w_(10, 3)	-1.8894094848514276
w_(35, 3)	-4.939338245031448
w_(1, 4)	-14.357889985316795
w_(22, 3)	-4.350614876374569
w_(25, 1)	-10.117191761407247
w_(3, 4)	-2.682258503943595
w_(11, 1)	-37.127240329708435
w_(9, 4)	-10.258498547691405
w_(23, 1)	-7.197243005227568
w_(28, 3)	-6.184173324208146
w_(16, 4)	-10.393458958648338
w_(21, 3)	-2.81472406349137
w_(6, 4)	-4.354647077344632
w_(14, 4)	-8.83252291705686
w_(12, 1)	-15.055730432183516
w_(55, 3)	-83.75371481171112
w_(15, 2)	-2.7271172339358705
w_(8, 4)	-5.241347708943339
w_(65, 3)	-4.698155632202564
w_(10, 2)	-17.545352835990663
w_(13, 1)	-44.06577111223155
w_(31, 3)	-5.10035171413942
w_(26, 1)	-7.460092509263452
w_(36, 1)	-24.987970250375945
w_(0, 2)	-0.34113726731348315
w_(47, 3)	-10.106953757309945
w_(3, 3)	-3.2681445275190937
w_(14, 3)	-11.920163932632484
w_(24, 1)	-0.9027553082352942
w_(30, 1)	-1.8363769885204633
w_(32, 3)	-1.5921094487288134
w_(59, 3)	-9.385268525040765
w_(49, 3)	-0.34200466213151914
w_(21, 4)	-10.404904661673859
w_(4, 1)	-20.650786781406268
w_(5, 4)	-2.9771964497148926
w_(17, 3)	-46.996481396770236
w_(12, 3)	-7.27696106228786
w_(69, 3)	-637.8341217681406
w_(10, 1)	-9.140734986473664
w_(0, 4)	-9.00426694935065
w_(35, 1)	-13.32652881236963
w_(22, 1)	-5.71961196583568
w_(50, 3)	-5.38968342
w_(40, 3)	-7.972475749805826
w_(3, 2)	-0.041881684517497186
w_(61, 3)	-7.15808379739388
w_(11, 2)	-32.744663199641984
w_(14, 2)	-27.723834377351597
w_(20, 1)	-16.746272352755902
w_(18, 4)	-15.917302770851592
w_(23, 3)	-1.4066836954400515
w_(58, 3)	-26.048088924800712
w_(21, 1)	-17.106635558075176
w_(46, 1)	-33.66842708740398
w_(54, 3)	-12.412528261809959
w_(62, 3)	-19.551998857368005
w_(27, 1)	-2.258681245604432
w_(43, 1)	-18.130216683988152
w_(17, 1)	-4.2017320655446095
w_(41, 3)	-3.7509777440016547
w_(7, 4)	-5.04951203882353
w_(45, 1)	-29.80385309989305
w_(31, 1)	-11.627569787317071
w_(6, 1)	-10.212515499154366
w_(37, 1)	-38.020772344383595
w_(15, 1)	-6.892409929840415
w_(1, 1)	-20.77193126131255
w_(2, 1)	-42.91596146431697
w_(57, 3)	-13.069459840879079
