 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(25, 4)" 0.0093 0.9838 0.013 -1.8212 1.9677 5489.271 1.0005
"p((25, 4))_0" 0.4994 0.2192 0.0033 0.1142 0.912 5126.5227 1.0
"p((25, 4))_1" 0.6028 0.2038 0.0027 0.2322 0.9489 5176.542 1.0006
"p((25, 4))_2" 0.6171 0.2267 0.003 0.1955 0.9642 5365.713 1.0006
"p((25, 4))_3" 0.6192 0.2307 0.003 0.1904 0.9646 5402.184 1.0006
"p((25, 4))_4" 0.6195 0.2314 0.003 0.1908 0.9658 5410.7454 1.0006
"p((25, 4))_5" 0.6196 0.2315 0.003 0.1908 0.9658 5412.8308 1.0006
"p((25, 4))_6" 0.6196 0.2316 0.003 0.1908 0.9658 5413.3382 1.0006
"p((25, 4))_7" 0.6196 0.2316 0.003 0.1908 0.9658 5413.4612 1.0006
"p((25, 4))_8" 0.6196 0.2316 0.003 0.1908 0.9658 5413.4911 1.0006
"p((25, 4))_9" 0.6196 0.2316 0.003 0.1908 0.9658 5413.4983 1.0006
"p((25, 4))_10" 0.6196 0.2316 0.003 0.1908 0.9658 5413.5 1.0006
