 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(18, 1)" 0.0012 0.9921 0.0147 -1.8675 2.0234 5599.9042 1.0003
"p((18, 1))_0" 0.5044 0.2196 0.0023 0.1083 0.9083 5815.5647 1.0
"p((18, 1))_1" 0.6025 0.2045 0.0029 0.2248 0.9467 5641.5064 1.0001
"p((18, 1))_2" 0.6165 0.228 0.0034 0.1911 0.9711 5528.5705 1.0004
"p((18, 1))_3" 0.6185 0.232 0.0034 0.1853 0.9725 5507.1562 1.0004
"p((18, 1))_4" 0.6189 0.2327 0.0035 0.1841 0.972 5502.9962 1.0004
"p((18, 1))_5" 0.6189 0.2329 0.0035 0.1839 0.972 5502.2077 1.0004
"p((18, 1))_6" 0.6189 0.2329 0.0035 0.1839 0.972 5502.0591 1.0004
"p((18, 1))_7" 0.6189 0.2329 0.0035 0.1839 0.972 5502.031 1.0004
"p((18, 1))_8" 0.6189 0.2329 0.0035 0.1839 0.972 5502.0256 1.0004
"p((18, 1))_9" 0.6189 0.2329 0.0035 0.1839 0.972 5502.0246 1.0004
"p((18, 1))_10" 0.6189 0.2329 0.0035 0.1839 0.972 5502.0244 1.0004
