 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(47, 1)" -0.0006 0.99 0.0129 -2.0875 1.7585 5914.1123 0.9998
"p((47, 1))_0" 0.4968 0.2253 0.0027 0.0821 0.892 5186.7902 0.9997
"p((47, 1))_1" 0.6009 0.2043 0.0026 0.2191 0.9415 5925.1597 0.9998
"p((47, 1))_2" 0.616 0.2284 0.0029 0.1779 0.9566 5885.5822 0.9998
"p((47, 1))_3" 0.6183 0.2326 0.003 0.1728 0.9588 5872.9967 0.9998
"p((47, 1))_4" 0.6187 0.2333 0.003 0.1742 0.9614 5869.8867 0.9998
"p((47, 1))_5" 0.6188 0.2334 0.003 0.17 0.9574 5869.1745 0.9998
"p((47, 1))_6" 0.6188 0.2335 0.003 0.17 0.9574 5869.0138 0.9998
"p((47, 1))_7" 0.6188 0.2335 0.003 0.17 0.9574 5868.9774 0.9998
"p((47, 1))_8" 0.6188 0.2335 0.003 0.17 0.9574 5868.9691 0.9998
"p((47, 1))_9" 0.6188 0.2335 0.003 0.17 0.9574 5868.9672 0.9998
"p((47, 1))_10" 0.6188 0.2335 0.003 0.17 0.9574 5868.9668 0.9998
