 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(4, 2)" -0.4274 0.3647 0.005 -1.1245 0.3009 5063.8216 1.0
"p((4, 2))_0" 0.5483 0.2134 0.0027 0.1444 0.9269 5078.9787 0.9999
"p((4, 2))_1" 0.5292 0.0902 0.0013 0.3637 0.7127 5424.4099 1.0002
"p((4, 2))_2" 0.5243 0.1054 0.0015 0.3172 0.7247 5258.9327 1.0001
"p((4, 2))_3" 0.523 0.1113 0.0015 0.3079 0.7351 5210.9245 1.0
"p((4, 2))_4" 0.5227 0.1128 0.0015 0.3068 0.7385 5206.1092 1.0
"p((4, 2))_5" 0.5226 0.1131 0.0015 0.3062 0.7387 5206.3314 1.0
"p((4, 2))_6" 0.5226 0.1132 0.0015 0.3061 0.7388 5206.6681 1.0
"p((4, 2))_7" 0.5226 0.1132 0.0015 0.3061 0.7388 5206.8075 1.0
"p((4, 2))_8" 0.5226 0.1132 0.0015 0.3061 0.7388 5206.8532 1.0
"p((4, 2))_9" 0.5226 0.1132 0.0015 0.3061 0.7388 5206.8667 1.0
"p((4, 2))_10" 0.5226 0.1132 0.0015 0.3061 0.7388 5206.8705 1.0
