 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(24, 1)" -0.005 0.9795 0.0138 -1.8892 2.0003 5846.9114 0.9998
"p((24, 1))_0" 0.5031 0.2251 0.003 0.0831 0.8984 5985.9694 1.0
"p((24, 1))_1" 0.6019 0.2023 0.0029 0.2232 0.9517 5845.0436 0.9998
"p((24, 1))_2" 0.6165 0.2248 0.0032 0.1932 0.9689 5782.9837 0.9999
"p((24, 1))_3" 0.6188 0.2287 0.0033 0.1859 0.9677 5763.6187 0.9999
"p((24, 1))_4" 0.6192 0.2294 0.0033 0.1848 0.9678 5759.1812 0.9999
"p((24, 1))_5" 0.6192 0.2296 0.0033 0.1847 0.9678 5758.2179 0.9999
"p((24, 1))_6" 0.6193 0.2296 0.0033 0.1847 0.9678 5758.0093 0.9999
"p((24, 1))_7" 0.6193 0.2296 0.0033 0.1847 0.9678 5757.9635 0.9999
"p((24, 1))_8" 0.6193 0.2296 0.0033 0.1847 0.9678 5757.9533 0.9999
"p((24, 1))_9" 0.6193 0.2296 0.0033 0.1847 0.9678 5757.951 0.9999
"p((24, 1))_10" 0.6193 0.2296 0.0033 0.1847 0.9678 5757.9505 0.9999
