 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(4, 1)" -1.7229 0.506 0.0231 -2.6969 -0.7201 412.9454 1.0032
"p((4, 1))_0" 0.4778 0.2211 0.0088 0.0826 0.8869 440.3831 1.0014
"p((4, 1))_1" 0.2367 0.0923 0.0046 0.0718 0.4252 302.527 1.0011
"p((4, 1))_2" 0.1998 0.0887 0.0045 0.0432 0.3733 301.0419 1.0028
"p((4, 1))_3" 0.1944 0.0879 0.0045 0.0495 0.3726 301.8772 1.0031
"p((4, 1))_4" 0.1936 0.0877 0.0045 0.0525 0.3748 301.9113 1.0032
"p((4, 1))_5" 0.1934 0.0876 0.0045 0.0517 0.3735 301.9318 1.0032
"p((4, 1))_6" 0.1934 0.0876 0.0045 0.0517 0.3735 301.9416 1.0033
"p((4, 1))_7" 0.1934 0.0876 0.0045 0.0511 0.3729 301.9451 1.0033
"p((4, 1))_8" 0.1934 0.0876 0.0045 0.0511 0.3728 301.9461 1.0033
"p((4, 1))_9" 0.1934 0.0876 0.0045 0.0511 0.3728 301.9464 1.0033
"p((4, 1))_10" 0.1934 0.0876 0.0045 0.0511 0.3728 301.9465 1.0033
