 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(12, 1)" -1.2923 0.5761 0.0082 -2.4746 -0.2322 6146.6406 1.0003
"p((12, 1))_0" 0.4767 0.2266 0.0029 0.0768 0.8918 5854.2108 0.9997
"p((12, 1))_1" 0.3207 0.1234 0.0018 0.089 0.553 6228.5234 1.0001
"p((12, 1))_2" 0.2933 0.131 0.0018 0.067 0.5464 6341.5125 1.0003
"p((12, 1))_3" 0.2887 0.133 0.0019 0.0605 0.5454 6340.7075 1.0003
"p((12, 1))_4" 0.2879 0.1333 0.0019 0.0608 0.5473 6337.3905 1.0003
"p((12, 1))_5" 0.2878 0.1334 0.0019 0.0732 0.56 6336.2775 1.0003
"p((12, 1))_6" 0.2877 0.1334 0.0019 0.0734 0.5603 6335.9756 1.0003
"p((12, 1))_7" 0.2877 0.1334 0.0019 0.0734 0.5603 6335.8989 1.0003
"p((12, 1))_8" 0.2877 0.1334 0.0019 0.0734 0.5603 6335.8798 1.0003
"p((12, 1))_9" 0.2877 0.1334 0.0019 0.0734 0.5603 6335.8751 1.0003
"p((12, 1))_10" 0.2877 0.1334 0.0019 0.0734 0.5603 6335.874 1.0003
