 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(63, 3)" 0.0139 1.0033 0.0129 -1.9907 1.9173 5845.376 0.9999
"p((63, 3))_0" 0.5004 0.2237 0.0029 0.0933 0.9015 5393.3515 0.9999
"p((63, 3))_1" 0.6042 0.2069 0.0027 0.2267 0.959 5893.8662 0.9999
"p((63, 3))_2" 0.6187 0.2299 0.003 0.1833 0.9663 5809.959 0.9999
"p((63, 3))_3" 0.6208 0.2338 0.003 0.1775 0.9672 5754.7039 1.0
"p((63, 3))_4" 0.6211 0.2345 0.003 0.1765 0.9672 5741.8679 1.0
"p((63, 3))_5" 0.6212 0.2346 0.003 0.1765 0.9672 5739.0303 1.0
"p((63, 3))_6" 0.6212 0.2346 0.003 0.1765 0.9672 5738.4141 1.0
"p((63, 3))_7" 0.6212 0.2346 0.003 0.1765 0.9672 5738.2808 1.0
"p((63, 3))_8" 0.6212 0.2346 0.003 0.1765 0.9672 5738.2519 1.0
"p((63, 3))_9" 0.6212 0.2346 0.003 0.1765 0.9672 5738.2457 1.0
"p((63, 3))_10" 0.6212 0.2346 0.003 0.1765 0.9672 5738.2443 1.0
