 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(14, 3)" -1.4329 0.3509 0.0294 -2.1503 -0.7591 71.5151 1.071
"p((14, 3))_0" 0.496 0.1598 0.0121 0.1552 0.7858 5.2759 1.3668
"p((14, 3))_1" 0.2871 0.074 0.006 0.1523 0.4445 83.3669 1.0503
"p((14, 3))_2" 0.2491 0.0758 0.0064 0.106 0.3977 73.8047 1.0592
"p((14, 3))_3" 0.2426 0.0758 0.0064 0.0983 0.3886 70.4425 1.0672
"p((14, 3))_4" 0.2414 0.0757 0.0064 0.0982 0.388 69.7791 1.0689
"p((14, 3))_5" 0.2412 0.0756 0.0064 0.0982 0.3877 69.6504 1.0693
"p((14, 3))_6" 0.2412 0.0756 0.0064 0.0982 0.3877 69.6249 1.0694
"p((14, 3))_7" 0.2412 0.0756 0.0064 0.0982 0.3877 69.6198 1.0694
"p((14, 3))_8" 0.2412 0.0756 0.0064 0.0982 0.3877 69.6188 1.0694
"p((14, 3))_9" 0.2412 0.0756 0.0064 0.0982 0.3877 69.6185 1.0694
"p((14, 3))_10" 0.2412 0.0756 0.0064 0.0982 0.3877 69.6185 1.0694
