 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(20, 1)" 0.0085 0.9886 0.0118 -2.0052 1.8669 6139.0682 1.0002
"p((20, 1))_0" 0.5052 0.2243 0.0029 0.0863 0.9036 6465.4718 0.9998
"p((20, 1))_1" 0.6043 0.2014 0.0025 0.2249 0.9489 6102.4044 1.0002
"p((20, 1))_2" 0.6181 0.2258 0.0027 0.1903 0.9691 6075.8596 1.0002
"p((20, 1))_3" 0.6201 0.2302 0.0027 0.1876 0.9739 6066.3869 1.0002
"p((20, 1))_4" 0.6204 0.2309 0.0027 0.1875 0.975 6063.9857 1.0002
"p((20, 1))_5" 0.6204 0.2311 0.0027 0.1872 0.975 6063.4528 1.0002
"p((20, 1))_6" 0.6204 0.2311 0.0027 0.1872 0.975 6063.3392 1.0002
"p((20, 1))_7" 0.6204 0.2311 0.0027 0.1872 0.975 6063.3153 1.0002
"p((20, 1))_8" 0.6204 0.2311 0.0027 0.1872 0.975 6063.3102 1.0002
"p((20, 1))_9" 0.6204 0.2311 0.0027 0.1872 0.975 6063.3091 1.0002
"p((20, 1))_10" 0.6204 0.2311 0.0027 0.1872 0.975 6063.3089 1.0002
