 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(60, 3)" -0.0096 1.0169 0.0118 -1.9887 1.9638 5918.597 0.9998
"p((60, 3))_0" 0.499 0.2229 0.0026 0.0921 0.8997 6112.6806 0.9998
"p((60, 3))_1" 0.5987 0.2067 0.0024 0.2086 0.9475 5946.4323 0.9999
"p((60, 3))_2" 0.6126 0.2315 0.0028 0.1756 0.9685 5719.8766 0.9999
"p((60, 3))_3" 0.6146 0.2357 0.0028 0.1716 0.9698 5678.1998 0.9999
"p((60, 3))_4" 0.615 0.2365 0.0028 0.169 0.9686 5670.0683 0.9999
"p((60, 3))_5" 0.615 0.2366 0.0028 0.1689 0.9686 5668.4381 0.9999
"p((60, 3))_6" 0.615 0.2366 0.0028 0.1689 0.9686 5668.1005 0.9999
"p((60, 3))_7" 0.615 0.2366 0.0028 0.1688 0.9686 5668.0283 0.9999
"p((60, 3))_8" 0.615 0.2366 0.0028 0.1688 0.9686 5668.0124 0.9999
"p((60, 3))_9" 0.615 0.2366 0.0028 0.1688 0.9686 5668.0089 0.9999
"p((60, 3))_10" 0.615 0.2366 0.0028 0.1688 0.9686 5668.0081 0.9999
