 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(22, 1)" 0.0015 0.9895 0.013 -1.9359 1.9784 6505.1318 0.9998
"p((22, 1))_0" 0.4952 0.2239 0.0025 0.104 0.9234 5845.8474 0.9999
"p((22, 1))_1" 0.6009 0.2023 0.0026 0.2061 0.9334 6738.3767 0.9998
"p((22, 1))_2" 0.6159 0.2265 0.0029 0.2003 0.9796 6578.9049 0.9997
"p((22, 1))_3" 0.6181 0.2308 0.003 0.1924 0.9803 6539.5571 0.9997
"p((22, 1))_4" 0.6185 0.2315 0.003 0.1934 0.983 6530.7937 0.9997
"p((22, 1))_5" 0.6186 0.2317 0.003 0.1935 0.983 6528.8712 0.9997
"p((22, 1))_6" 0.6186 0.2317 0.003 0.1935 0.983 6528.4453 0.9997
"p((22, 1))_7" 0.6186 0.2317 0.003 0.1935 0.983 6528.3496 0.9997
"p((22, 1))_8" 0.6186 0.2317 0.003 0.1935 0.983 6528.3277 0.9997
"p((22, 1))_9" 0.6186 0.2317 0.003 0.1935 0.983 6528.3227 0.9997
"p((22, 1))_10" 0.6186 0.2317 0.003 0.1935 0.983 6528.3215 0.9997
