 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(72, 3)" -0.0015 0.9945 0.0129 -2.0146 1.8829 6105.2877 0.9999
"p((72, 3))_0" 0.4957 0.2261 0.003 0.0915 0.914 5921.6261 1.0003
"p((72, 3))_1" 0.5999 0.2049 0.0028 0.2249 0.9503 5981.0181 1.0
"p((72, 3))_2" 0.6149 0.2282 0.003 0.1909 0.9703 5970.7379 1.0
"p((72, 3))_3" 0.6171 0.2322 0.003 0.185 0.971 5967.3649 1.0
"p((72, 3))_4" 0.6175 0.233 0.003 0.1828 0.9703 5967.0044 1.0
"p((72, 3))_5" 0.6175 0.2331 0.003 0.1825 0.9703 5967.0369 1.0
"p((72, 3))_6" 0.6175 0.2331 0.003 0.1822 0.97 5967.0666 1.0
"p((72, 3))_7" 0.6175 0.2331 0.003 0.1822 0.97 5967.0772 1.0
"p((72, 3))_8" 0.6175 0.2331 0.003 0.1822 0.97 5967.0803 1.0
"p((72, 3))_9" 0.6175 0.2331 0.003 0.1822 0.97 5967.0811 1.0
"p((72, 3))_10" 0.6175 0.2331 0.003 0.1822 0.97 5967.0814 1.0
