 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(35, 1)" -0.0019 0.9925 0.014 -2.0745 1.8352 6284.1024 1.0001
"p((35, 1))_0" 0.5045 0.225 0.0031 0.1057 0.9142 6181.7077 0.9998
"p((35, 1))_1" 0.6022 0.2048 0.0029 0.22 0.9484 6060.9092 1.0001
"p((35, 1))_2" 0.6161 0.2283 0.0033 0.1845 0.966 5968.2247 1.0
"p((35, 1))_3" 0.6181 0.2324 0.0033 0.1758 0.9641 5940.9141 1.0
"p((35, 1))_4" 0.6185 0.2331 0.0033 0.1749 0.9641 5935.0119 1.0
"p((35, 1))_5" 0.6185 0.2332 0.0033 0.1748 0.9641 5933.8447 1.0
"p((35, 1))_6" 0.6186 0.2332 0.0033 0.1748 0.9641 5933.6225 1.0
"p((35, 1))_7" 0.6186 0.2332 0.0033 0.1748 0.9641 5933.5812 1.0
"p((35, 1))_8" 0.6186 0.2332 0.0033 0.1748 0.9641 5933.5737 1.0
"p((35, 1))_9" 0.6186 0.2332 0.0033 0.1748 0.9641 5933.5724 1.0
"p((35, 1))_10" 0.6186 0.2332 0.0033 0.1748 0.9641 5933.5722 1.0
