 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(5, 1)" -0.6952 0.5865 0.0151 -1.8408 0.4586 1389.8208 1.001
"p((5, 1))_0" 0.482 0.2236 0.0042 0.0579 0.8737 2627.9019 1.0005
"p((5, 1))_1" 0.4514 0.1416 0.0037 0.1834 0.7199 1379.4388 1.0015
"p((5, 1))_2" 0.4458 0.1599 0.0042 0.1603 0.7596 1319.8891 1.001
"p((5, 1))_3" 0.4449 0.1647 0.0043 0.151 0.7639 1321.6468 1.0009
"p((5, 1))_4" 0.4447 0.1658 0.0043 0.1502 0.7654 1322.5348 1.0009
"p((5, 1))_5" 0.4447 0.166 0.0043 0.1415 0.757 1322.7793 1.0009
"p((5, 1))_6" 0.4447 0.166 0.0043 0.1415 0.7571 1322.8438 1.0009
"p((5, 1))_7" 0.4447 0.166 0.0043 0.1415 0.7571 1322.8607 1.0009
"p((5, 1))_8" 0.4447 0.166 0.0043 0.1415 0.7571 1322.8651 1.0009
"p((5, 1))_9" 0.4447 0.166 0.0043 0.1415 0.7571 1322.8662 1.0009
"p((5, 1))_10" 0.4447 0.166 0.0043 0.1415 0.7571 1322.8665 1.0009
