 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(0, 3)" -1.7174 0.2913 0.0056 -2.312 -1.1807 2706.9992 1.0003
"p((0, 3))_0" 0.3997 0.2066 0.0035 0.0431 0.7946 3480.9546 0.9999
"p((0, 3))_1" 0.2164 0.0554 0.001 0.1152 0.3262 3123.4659 1.0
"p((0, 3))_2" 0.1875 0.05 0.001 0.098 0.2885 2547.6849 1.0001
"p((0, 3))_3" 0.1833 0.05 0.001 0.0932 0.2837 2478.4481 1.0001
"p((0, 3))_4" 0.1827 0.0499 0.001 0.0897 0.28 2468.4025 1.0001
"p((0, 3))_5" 0.1826 0.0499 0.001 0.0907 0.281 2466.9051 1.0001
"p((0, 3))_6" 0.1826 0.0499 0.001 0.0899 0.2802 2466.6844 1.0001
"p((0, 3))_7" 0.1826 0.0499 0.001 0.0899 0.2801 2466.6524 1.0001
"p((0, 3))_8" 0.1826 0.0499 0.001 0.0899 0.2801 2466.6478 1.0001
"p((0, 3))_9" 0.1826 0.0499 0.001 0.0899 0.2801 2466.6471 1.0001
"p((0, 3))_10" 0.1826 0.0499 0.001 0.0899 0.2801 2466.647 1.0001
