 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(26, 3)" 0.3417 0.9391 0.0149 -1.5021 2.157 4234.6656 1.0001
"p((26, 3))_0" 0.5147 0.2262 0.0031 0.1078 0.914 4552.9145 0.9998
"p((26, 3))_1" 0.6724 0.1817 0.0029 0.324 0.9637 3902.7612 1.0002
"p((26, 3))_2" 0.6933 0.2 0.0032 0.3012 0.9803 3698.4827 1.0002
"p((26, 3))_3" 0.6962 0.2032 0.0033 0.293 0.9811 3660.5793 1.0002
"p((26, 3))_4" 0.6966 0.2038 0.0033 0.2913 0.9815 3653.0616 1.0002
"p((26, 3))_5" 0.6967 0.2039 0.0033 0.2907 0.9815 3651.5425 1.0002
"p((26, 3))_6" 0.6967 0.2039 0.0033 0.2908 0.9815 3651.2295 1.0002
"p((26, 3))_7" 0.6967 0.2039 0.0033 0.2908 0.9815 3651.1637 1.0002
"p((26, 3))_8" 0.6967 0.2039 0.0033 0.2908 0.9815 3651.1496 1.0002
"p((26, 3))_9" 0.6967 0.2039 0.0033 0.2908 0.9815 3651.1465 1.0002
"p((26, 3))_10" 0.6967 0.2039 0.0033 0.2908 0.9815 3651.1459 1.0002
