 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(1, 1)" -1.6316 0.5293 0.0118 -2.6928 -0.6152 1996.2606 1.0012
"p((1, 1))_0" 0.4878 0.2231 0.0049 0.0798 0.8791 2395.0756 1.0006
"p((1, 1))_1" 0.2557 0.1007 0.0024 0.0738 0.4509 1733.6571 1.0022
"p((1, 1))_2" 0.2187 0.0993 0.0024 0.0509 0.4112 1614.6551 1.0016
"p((1, 1))_3" 0.213 0.0989 0.0025 0.0519 0.4108 1594.9303 1.0015
"p((1, 1))_4" 0.212 0.0987 0.0024 0.0511 0.4094 1590.8607 1.0015
"p((1, 1))_5" 0.2119 0.0986 0.0024 0.044 0.4024 1590.07 1.0015
"p((1, 1))_6" 0.2118 0.0986 0.0024 0.044 0.4025 1589.9235 1.0015
"p((1, 1))_7" 0.2118 0.0986 0.0024 0.044 0.4025 1589.8974 1.0015
"p((1, 1))_8" 0.2118 0.0986 0.0024 0.044 0.4025 1589.8929 1.0015
"p((1, 1))_9" 0.2118 0.0986 0.0024 0.044 0.4025 1589.8922 1.0015
"p((1, 1))_10" 0.2118 0.0986 0.0024 0.044 0.4025 1589.8921 1.0015
