 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(13, 4)" -0.7189 0.5853 0.0099 -1.8213 0.4622 4264.6334 1.0
"p((13, 4))_0" 0.4741 0.2169 0.003 0.0851 0.8817 5144.2429 0.9999
"p((13, 4))_1" 0.4439 0.1389 0.0024 0.1864 0.7194 4377.225 0.9999
"p((13, 4))_2" 0.4385 0.1582 0.0027 0.1509 0.7471 4252.2196 1.0
"p((13, 4))_3" 0.4377 0.1632 0.0028 0.1412 0.7506 4241.302 1.0
"p((13, 4))_4" 0.4376 0.1643 0.0028 0.1393 0.7513 4239.314 1.0
"p((13, 4))_5" 0.4375 0.1645 0.0028 0.1393 0.7518 4238.8677 1.0
"p((13, 4))_6" 0.4375 0.1645 0.0028 0.1393 0.7519 4238.7639 1.0
"p((13, 4))_7" 0.4375 0.1645 0.0028 0.1393 0.7519 4238.7398 1.0
"p((13, 4))_8" 0.4375 0.1645 0.0028 0.1393 0.7519 4238.7343 1.0
"p((13, 4))_9" 0.4375 0.1645 0.0028 0.1393 0.7519 4238.7331 1.0
"p((13, 4))_10" 0.4375 0.1645 0.0028 0.1393 0.7519 4238.7328 1.0
