 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(0, 1)" -0.4831 0.7359 0.0105 -2.0216 0.8892 5737.6446 1.0001
"p((0, 1))_0" 0.4694 0.2249 0.0031 0.0811 0.8958 5349.3817 0.9999
"p((0, 1))_1" 0.497 0.1675 0.0024 0.1637 0.8006 5807.6874 1.0002
"p((0, 1))_2" 0.5029 0.1916 0.0027 0.1414 0.8474 5891.653 1.0002
"p((0, 1))_3" 0.5042 0.197 0.0028 0.1377 0.8557 5903.7492 1.0002
"p((0, 1))_4" 0.5045 0.198 0.0028 0.1313 0.8506 5906.1074 1.0002
"p((0, 1))_5" 0.5046 0.1982 0.0028 0.1312 0.8507 5906.6069 1.0002
"p((0, 1))_6" 0.5046 0.1983 0.0028 0.1312 0.8507 5906.7169 1.0002
"p((0, 1))_7" 0.5046 0.1983 0.0028 0.1312 0.8507 5906.7418 1.0002
"p((0, 1))_8" 0.5046 0.1983 0.0028 0.1312 0.8507 5906.7476 1.0002
"p((0, 1))_9" 0.5046 0.1983 0.0028 0.1312 0.8507 5906.749 1.0002
"p((0, 1))_10" 0.5046 0.1983 0.0028 0.1312 0.8507 5906.7493 1.0002
