 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(13, 1)" 0.0 0.9849 0.0135 -1.9078 1.8866 6123.126 0.9997
"p((13, 1))_0" 0.5021 0.2215 0.003 0.1091 0.9205 5224.0761 0.9997
"p((13, 1))_1" 0.6021 0.203 0.0029 0.2169 0.9389 5975.8738 0.9997
"p((13, 1))_2" 0.6161 0.2271 0.0032 0.2008 0.9709 6079.4838 0.9997
"p((13, 1))_3" 0.6181 0.2313 0.0033 0.1919 0.9713 6067.6952 0.9997
"p((13, 1))_4" 0.6184 0.232 0.0033 0.1935 0.9742 6062.2405 0.9997
"p((13, 1))_5" 0.6184 0.2322 0.0033 0.1933 0.9742 6060.517 0.9997
"p((13, 1))_6" 0.6184 0.2322 0.0033 0.1933 0.9742 6060.022 0.9997
"p((13, 1))_7" 0.6184 0.2322 0.0033 0.1933 0.9742 6059.8873 0.9997
"p((13, 1))_8" 0.6184 0.2322 0.0033 0.1933 0.9742 6059.8519 0.9997
"p((13, 1))_9" 0.6184 0.2322 0.0033 0.1933 0.9742 6059.8428 0.9997
"p((13, 1))_10" 0.6184 0.2322 0.0033 0.1933 0.9742 6059.8406 0.9997
