 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(2, 3)" -1.405 0.2651 0.0113 -1.9192 -0.9152 417.9915 1.0025
"p((2, 3))_0" 0.4514 0.2277 0.0106 0.0822 0.8911 393.2782 1.0002
"p((2, 3))_1" 0.2829 0.0659 0.0035 0.155 0.4161 294.6268 1.0005
"p((2, 3))_2" 0.2502 0.0576 0.0027 0.1466 0.3653 353.7112 1.0025
"p((2, 3))_3" 0.2444 0.0579 0.0026 0.1447 0.3651 376.2376 1.0029
"p((2, 3))_4" 0.2434 0.0579 0.0025 0.1365 0.357 380.2921 1.003
"p((2, 3))_5" 0.2432 0.0579 0.0025 0.1364 0.3568 381.1048 1.0031
"p((2, 3))_6" 0.2432 0.0579 0.0025 0.1363 0.3567 381.27 1.0031
"p((2, 3))_7" 0.2432 0.0579 0.0025 0.1363 0.3567 381.3041 1.0031
"p((2, 3))_8" 0.2432 0.0579 0.0025 0.1361 0.3565 381.3111 1.0031
"p((2, 3))_9" 0.2432 0.0579 0.0025 0.1361 0.3565 381.3126 1.0031
"p((2, 3))_10" 0.2432 0.0579 0.0025 0.1361 0.3565 381.3129 1.0031
