 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(31, 3)" -1.2402 0.5107 0.0202 -2.3063 -0.2624 541.3552 1.0048
"p((31, 3))_0" 0.478 0.2232 0.0058 0.083 0.8834 1064.7936 1.0002
"p((31, 3))_1" 0.329 0.1144 0.0047 0.1303 0.5681 500.5872 1.006
"p((31, 3))_2" 0.3014 0.121 0.0053 0.09 0.5494 438.7106 1.0064
"p((31, 3))_3" 0.2966 0.1229 0.0054 0.0763 0.5409 431.3604 1.0064
"p((31, 3))_4" 0.2957 0.1233 0.0054 0.0734 0.54 429.6794 1.0064
"p((31, 3))_5" 0.2956 0.1233 0.0054 0.0734 0.5402 429.2774 1.0064
"p((31, 3))_6" 0.2955 0.1233 0.0054 0.0737 0.5405 429.1836 1.0064
"p((31, 3))_7" 0.2955 0.1233 0.0054 0.0737 0.5404 429.1621 1.0064
"p((31, 3))_8" 0.2955 0.1233 0.0054 0.0737 0.5404 429.1572 1.0064
"p((31, 3))_9" 0.2955 0.1233 0.0054 0.0737 0.5404 429.1561 1.0064
"p((31, 3))_10" 0.2955 0.1233 0.0054 0.0737 0.5404 429.1559 1.0064
