 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(12, 4)" -1.0322 0.4546 0.0181 -1.9523 -0.1838 591.2758 1.0018
"p((12, 4))_0" 0.4725 0.2218 0.0081 0.0607 0.863 704.4835 1.0008
"p((12, 4))_1" 0.3708 0.1081 0.0044 0.1563 0.5694 608.5981 1.0023
"p((12, 4))_2" 0.3506 0.1176 0.0049 0.139 0.5819 543.5052 1.0019
"p((12, 4))_3" 0.3468 0.1209 0.0051 0.127 0.5793 530.8437 1.0018
"p((12, 4))_4" 0.3461 0.1216 0.0051 0.1273 0.5811 528.1502 1.0018
"p((12, 4))_5" 0.346 0.1217 0.0051 0.1271 0.5809 527.5232 1.0018
"p((12, 4))_6" 0.346 0.1218 0.0051 0.1271 0.581 527.3775 1.0018
"p((12, 4))_7" 0.3459 0.1218 0.0051 0.1271 0.5811 527.3438 1.0018
"p((12, 4))_8" 0.3459 0.1218 0.0051 0.1271 0.5811 527.3361 1.0018
"p((12, 4))_9" 0.3459 0.1218 0.0051 0.1271 0.5811 527.3343 1.0018
"p((12, 4))_10" 0.3459 0.1218 0.0051 0.1271 0.5811 527.3339 1.0018
