 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(11, 1)" -1.9448 0.5917 0.0074 -3.1235 -0.8227 5967.9357 0.9998
"p((11, 1))_0" 0.4862 0.224 0.0032 0.0664 0.8759 5108.0309 1.0001
"p((11, 1))_1" 0.2064 0.0964 0.0013 0.0432 0.3969 5844.7372 0.9999
"p((11, 1))_2" 0.1686 0.0898 0.0012 0.0284 0.3491 5921.9838 1.0
"p((11, 1))_3" 0.1636 0.0883 0.0012 0.025 0.3387 5874.0839 1.0
"p((11, 1))_4" 0.1629 0.088 0.0012 0.0254 0.338 5865.2386 1.0
"p((11, 1))_5" 0.1628 0.0879 0.0011 0.0272 0.3395 5864.28 1.0
"p((11, 1))_6" 0.1627 0.0879 0.0011 0.0272 0.3393 5864.2474 1.0
"p((11, 1))_7" 0.1627 0.0879 0.0011 0.0272 0.3392 5864.2694 1.0
"p((11, 1))_8" 0.1627 0.0878 0.0011 0.0272 0.3392 5864.279 1.0
"p((11, 1))_9" 0.1627 0.0878 0.0011 0.0272 0.3392 5864.282 1.0
"p((11, 1))_10" 0.1627 0.0878 0.0011 0.0272 0.3392 5864.2828 1.0
