 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(45, 1)" 0.0076 0.9908 0.0134 -1.9811 1.9022 5707.1332 0.9998
"p((45, 1))_0" 0.5021 0.2219 0.0031 0.0963 0.9047 5894.487 0.9997
"p((45, 1))_1" 0.6033 0.2025 0.0027 0.1963 0.9272 5872.4834 0.9999
"p((45, 1))_2" 0.6176 0.226 0.003 0.1979 0.9739 5767.4303 0.9999
"p((45, 1))_3" 0.6197 0.2301 0.0031 0.1889 0.972 5742.6256 0.9999
"p((45, 1))_4" 0.62 0.2308 0.0031 0.1866 0.9714 5736.8463 0.9999
"p((45, 1))_5" 0.6201 0.231 0.0031 0.1871 0.9722 5735.5019 0.9999
"p((45, 1))_6" 0.6201 0.231 0.0031 0.187 0.9721 5735.187 0.9999
"p((45, 1))_7" 0.6201 0.231 0.0031 0.187 0.9721 5735.1128 0.9999
"p((45, 1))_8" 0.6201 0.231 0.0031 0.187 0.9721 5735.0951 0.9999
"p((45, 1))_9" 0.6201 0.231 0.0031 0.187 0.9721 5735.0909 0.9999
"p((45, 1))_10" 0.6201 0.231 0.0031 0.187 0.9721 5735.0899 0.9999
