 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(41, 1)" -0.0011 0.999 0.0119 -1.9024 2.0044 6046.3507 0.9998
"p((41, 1))_0" 0.5019 0.2213 0.0027 0.1009 0.9062 5960.1694 0.9997
"p((41, 1))_1" 0.6017 0.2037 0.0025 0.2234 0.9532 6093.7672 0.9998
"p((41, 1))_2" 0.6158 0.2278 0.0028 0.1893 0.9708 6071.837 0.9998
"p((41, 1))_3" 0.6179 0.232 0.0029 0.1827 0.971 6061.4209 0.9998
"p((41, 1))_4" 0.6182 0.2327 0.0029 0.181 0.971 6058.5263 0.9998
"p((41, 1))_5" 0.6183 0.2329 0.0029 0.1808 0.971 6057.8108 0.9998
"p((41, 1))_6" 0.6183 0.2329 0.0029 0.1807 0.971 6057.6406 0.9998
"p((41, 1))_7" 0.6183 0.2329 0.0029 0.1807 0.971 6057.6007 0.9998
"p((41, 1))_8" 0.6183 0.2329 0.0029 0.1807 0.971 6057.5915 0.9998
"p((41, 1))_9" 0.6183 0.2329 0.0029 0.1807 0.971 6057.5893 0.9998
"p((41, 1))_10" 0.6183 0.2329 0.0029 0.1807 0.971 6057.5888 0.9998
