 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(29, 1)" -0.0221 1.0136 0.0146 -1.9935 2.0009 5668.3261 1.0
"p((29, 1))_0" 0.4962 0.2241 0.0028 0.0732 0.8833 5892.0839 0.9999
"p((29, 1))_1" 0.5959 0.207 0.0029 0.2136 0.9532 5764.6425 0.9998
"p((29, 1))_2" 0.6103 0.2309 0.0033 0.1782 0.9696 5666.5742 0.9999
"p((29, 1))_3" 0.6124 0.2351 0.0034 0.1718 0.9703 5636.2803 0.9999
"p((29, 1))_4" 0.6127 0.2358 0.0034 0.1712 0.971 5629.4108 0.9999
"p((29, 1))_5" 0.6128 0.2359 0.0034 0.171 0.971 5627.9981 0.9999
"p((29, 1))_6" 0.6128 0.236 0.0034 0.171 0.971 5627.7176 0.9999
"p((29, 1))_7" 0.6128 0.236 0.0034 0.171 0.971 5627.6626 0.9999
"p((29, 1))_8" 0.6128 0.236 0.0034 0.171 0.971 5627.6518 0.9999
"p((29, 1))_9" 0.6128 0.236 0.0034 0.171 0.971 5627.6497 0.9999
"p((29, 1))_10" 0.6128 0.236 0.0034 0.171 0.971 5627.6493 0.9999
