 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(21, 4)" -1.411 0.4448 0.0187 -2.2672 -0.5312 501.0792 1.0042
"p((21, 4))_0" 0.486 0.22 0.0084 0.0922 0.8782 605.1408 1.0027
"p((21, 4))_1" 0.2939 0.0958 0.004 0.113 0.4829 517.4597 1.0045
"p((21, 4))_2" 0.2588 0.096 0.0043 0.0826 0.4519 424.0292 1.0058
"p((21, 4))_3" 0.2528 0.0965 0.0043 0.0824 0.4502 407.8844 1.0059
"p((21, 4))_4" 0.2517 0.0965 0.0043 0.0835 0.4502 404.4698 1.0059
"p((21, 4))_5" 0.2515 0.0965 0.0043 0.0833 0.4498 403.7413 1.0059
"p((21, 4))_6" 0.2515 0.0965 0.0043 0.0824 0.4488 403.5848 1.0059
"p((21, 4))_7" 0.2515 0.0965 0.0043 0.0824 0.4488 403.5511 1.0059
"p((21, 4))_8" 0.2515 0.0965 0.0043 0.0824 0.4488 403.5438 1.0059
"p((21, 4))_9" 0.2515 0.0965 0.0043 0.0824 0.4488 403.5422 1.0059
"p((21, 4))_10" 0.2515 0.0965 0.0043 0.0824 0.4488 403.5418 1.0059
