 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(1, 4)" -1.4719 0.327 0.0208 -2.1458 -0.8614 131.4169 1.0233
"p((1, 4))_0" 0.5044 0.2135 0.0135 0.1079 0.8597 172.3562 1.0038
"p((1, 4))_1" 0.2815 0.0738 0.0048 0.145 0.4275 146.017 1.0173
"p((1, 4))_2" 0.2401 0.0695 0.0045 0.1097 0.3723 125.5047 1.0237
"p((1, 4))_3" 0.2331 0.0693 0.0045 0.0995 0.3607 122.653 1.0242
"p((1, 4))_4" 0.2318 0.0691 0.0045 0.102 0.3612 122.0968 1.0243
"p((1, 4))_5" 0.2316 0.0691 0.0045 0.102 0.3608 121.9528 1.0243
"p((1, 4))_6" 0.2316 0.0691 0.0045 0.102 0.3608 121.9199 1.0243
"p((1, 4))_7" 0.2316 0.0691 0.0045 0.102 0.3608 121.9126 1.0243
"p((1, 4))_8" 0.2316 0.0691 0.0045 0.102 0.3608 121.911 1.0243
"p((1, 4))_9" 0.2316 0.0691 0.0045 0.102 0.3608 121.9106 1.0243
"p((1, 4))_10" 0.2316 0.0691 0.0045 0.102 0.3608 121.9105 1.0243
