 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(23, 3)" -0.485 0.4887 0.0064 -1.3652 0.571 5563.7272 0.9997
"p((23, 3))_0" 0.4677 0.2224 0.0029 0.0788 0.8815 5626.5327 0.9998
"p((23, 3))_1" 0.4958 0.1197 0.0016 0.2696 0.7312 5526.0831 0.9997
"p((23, 3))_2" 0.5023 0.1382 0.0018 0.2564 0.785 5602.9301 0.9997
"p((23, 3))_3" 0.5038 0.1438 0.0019 0.2493 0.7969 5626.0422 0.9997
"p((23, 3))_4" 0.5042 0.1451 0.0019 0.2469 0.7971 5632.2131 0.9997
"p((23, 3))_5" 0.5043 0.1453 0.0019 0.2463 0.797 5633.7778 0.9997
"p((23, 3))_6" 0.5043 0.1454 0.0019 0.2462 0.7971 5634.1639 0.9997
"p((23, 3))_7" 0.5043 0.1454 0.0019 0.2462 0.7971 5634.2578 0.9997
"p((23, 3))_8" 0.5043 0.1454 0.0019 0.2462 0.7971 5634.2805 0.9997
"p((23, 3))_9" 0.5043 0.1454 0.0019 0.2462 0.7971 5634.286 0.9997
"p((23, 3))_10" 0.5043 0.1454 0.0019 0.2462 0.7971 5634.2873 0.9997
