 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(70, 3)" 0.0235 1.0047 0.0125 -1.8617 2.0389 6147.2924 1.0002
"p((70, 3))_0" 0.4988 0.2267 0.0028 0.0835 0.8979 5610.1346 0.9998
"p((70, 3))_1" 0.6053 0.205 0.0025 0.2226 0.9491 5853.8535 1.0
"p((70, 3))_2" 0.6202 0.2287 0.0028 0.1959 0.9733 5891.5069 0.9999
"p((70, 3))_3" 0.6223 0.2328 0.0029 0.186 0.9712 5886.1095 0.9999
"p((70, 3))_4" 0.6227 0.2335 0.0029 0.1879 0.9739 5886.639 0.9999
"p((70, 3))_5" 0.6227 0.2336 0.0029 0.1876 0.9738 5887.3068 0.9999
"p((70, 3))_6" 0.6228 0.2337 0.0029 0.1876 0.9738 5887.5736 0.9999
"p((70, 3))_7" 0.6228 0.2337 0.0029 0.1876 0.9738 5887.6575 0.9999
"p((70, 3))_8" 0.6228 0.2337 0.0029 0.1876 0.9738 5887.6813 0.9999
"p((70, 3))_9" 0.6228 0.2337 0.0029 0.1876 0.9738 5887.6878 0.9999
"p((70, 3))_10" 0.6228 0.2337 0.0029 0.1876 0.9738 5887.6895 0.9999
