 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(14, 1)" -0.004 0.9995 0.0112 -2.0105 1.854 5831.4898 1.0
"p((14, 1))_0" 0.501 0.2251 0.0026 0.112 0.9111 5715.4431 1.0
"p((14, 1))_1" 0.6003 0.2062 0.0023 0.2199 0.9478 5888.801 1.0
"p((14, 1))_2" 0.6141 0.23 0.0026 0.193 0.9724 5907.3718 0.9999
"p((14, 1))_3" 0.6161 0.2342 0.0027 0.1863 0.9726 5907.5404 0.9999
"p((14, 1))_4" 0.6164 0.235 0.0027 0.1845 0.9722 5907.1522 0.9999
"p((14, 1))_5" 0.6164 0.2351 0.0027 0.1857 0.9736 5907.027 0.9999
"p((14, 1))_6" 0.6164 0.2351 0.0027 0.1857 0.9736 5906.9956 0.9999
"p((14, 1))_7" 0.6164 0.2351 0.0027 0.1857 0.9736 5906.9883 0.9999
"p((14, 1))_8" 0.6164 0.2351 0.0027 0.1857 0.9736 5906.9866 0.9999
"p((14, 1))_9" 0.6164 0.2351 0.0027 0.1857 0.9736 5906.9862 0.9999
"p((14, 1))_10" 0.6164 0.2351 0.0027 0.1857 0.9736 5906.9861 0.9999
