 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(0, 2)" -0.2254 0.4578 0.0059 -1.133 0.6399 5670.4456 0.9998
"p((0, 2))_0" 0.5237 0.2167 0.0028 0.1444 0.9268 5540.983 0.9998
"p((0, 2))_1" 0.5703 0.1087 0.0013 0.3657 0.7822 5620.4938 0.9997
"p((0, 2))_2" 0.5795 0.1264 0.0016 0.3351 0.8187 5722.675 0.9998
"p((0, 2))_3" 0.5811 0.1319 0.0017 0.3312 0.8332 5744.1117 0.9998
"p((0, 2))_4" 0.5814 0.1331 0.0017 0.3047 0.8099 5748.3661 0.9998
"p((0, 2))_5" 0.5814 0.1334 0.0017 0.304 0.81 5749.211 0.9998
"p((0, 2))_6" 0.5814 0.1335 0.0017 0.3038 0.81 5749.3768 0.9998
"p((0, 2))_7" 0.5814 0.1335 0.0017 0.3038 0.81 5749.4086 0.9998
"p((0, 2))_8" 0.5814 0.1335 0.0017 0.3038 0.81 5749.4146 0.9998
"p((0, 2))_9" 0.5814 0.1335 0.0017 0.3038 0.81 5749.4156 0.9998
"p((0, 2))_10" 0.5814 0.1335 0.0017 0.3038 0.81 5749.4158 0.9998
