 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(58, 3)" 0.003 1.0158 0.0127 -2.0028 2.001 6020.7563 1.0002
"p((58, 3))_0" 0.4966 0.2186 0.0025 0.1017 0.9036 6012.1396 0.9998
"p((58, 3))_1" 0.6009 0.2069 0.0026 0.226 0.9625 5980.6771 1.0003
"p((58, 3))_2" 0.6157 0.2307 0.0029 0.1881 0.9752 5959.0063 1.0004
"p((58, 3))_3" 0.6179 0.2347 0.003 0.1782 0.9741 5950.8765 1.0004
"p((58, 3))_4" 0.6183 0.2354 0.003 0.1803 0.9771 5949.1902 1.0004
"p((58, 3))_5" 0.6183 0.2356 0.003 0.1803 0.9771 5948.8831 1.0004
"p((58, 3))_6" 0.6183 0.2356 0.003 0.1803 0.9771 5948.8295 1.0004
"p((58, 3))_7" 0.6183 0.2356 0.003 0.1803 0.9771 5948.8203 1.0004
"p((58, 3))_8" 0.6183 0.2356 0.003 0.1803 0.9771 5948.8188 1.0004
"p((58, 3))_9" 0.6183 0.2356 0.003 0.1803 0.9771 5948.8186 1.0004
"p((58, 3))_10" 0.6183 0.2356 0.003 0.1803 0.9771 5948.8185 1.0004
