 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(8, 4)" -1.3225 0.5032 0.0074 -2.3073 -0.347 5224.3456 1.0005
"p((8, 4))_0" 0.4858 0.2238 0.0032 0.0808 0.8825 5425.9823 0.9998
"p((8, 4))_1" 0.3137 0.11 0.0017 0.1164 0.5335 4981.1018 1.0007
"p((8, 4))_2" 0.2822 0.1138 0.0017 0.0796 0.5077 5072.0018 1.0006
"p((8, 4))_3" 0.2767 0.115 0.0017 0.0827 0.5137 5078.9709 1.0005
"p((8, 4))_4" 0.2757 0.1151 0.0017 0.0761 0.5063 5078.8998 1.0005
"p((8, 4))_5" 0.2756 0.1151 0.0017 0.0755 0.5059 5078.8899 1.0005
"p((8, 4))_6" 0.2755 0.1151 0.0017 0.0755 0.5058 5078.9231 1.0005
"p((8, 4))_7" 0.2755 0.1151 0.0017 0.0755 0.5058 5078.9413 1.0005
"p((8, 4))_8" 0.2755 0.1151 0.0017 0.0755 0.5058 5078.948 1.0005
"p((8, 4))_9" 0.2755 0.1151 0.0017 0.0755 0.5058 5078.9501 1.0005
"p((8, 4))_10" 0.2755 0.1151 0.0017 0.0755 0.5058 5078.9507 1.0005
