 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(5, 3)" -0.8791 0.2453 0.0037 -1.3623 -0.3961 5000.7765 1.0006
"p((5, 3))_0" 0.5078 0.2134 0.003 0.0886 0.8744 5365.2069 0.9997
"p((5, 3))_1" 0.4098 0.0643 0.0009 0.2826 0.5319 5687.8937 1.0007
"p((5, 3))_2" 0.3871 0.0678 0.001 0.2525 0.5179 5155.2409 1.0007
"p((5, 3))_3" 0.3821 0.0721 0.0011 0.2445 0.5256 5020.1469 1.0006
"p((5, 3))_4" 0.381 0.0731 0.0011 0.242 0.5277 4993.8756 1.0006
"p((5, 3))_5" 0.3808 0.0734 0.0011 0.2372 0.5239 4987.7119 1.0006
"p((5, 3))_6" 0.3807 0.0734 0.0011 0.2361 0.5228 4986.204 1.0006
"p((5, 3))_7" 0.3807 0.0734 0.0011 0.2361 0.5228 4985.8325 1.0006
"p((5, 3))_8" 0.3807 0.0734 0.0011 0.2361 0.5228 4985.741 1.0006
"p((5, 3))_9" 0.3807 0.0734 0.0011 0.2361 0.5228 4985.7185 1.0006
"p((5, 3))_10" 0.3807 0.0734 0.0011 0.2361 0.5228 4985.7129 1.0006
