 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(26, 1)" -0.0186 0.9969 0.0133 -1.9343 1.939 5868.6276 0.9999
"p((26, 1))_0" 0.5026 0.2237 0.0029 0.1196 0.931 5976.4516 1.0003
"p((26, 1))_1" 0.5985 0.206 0.0029 0.2119 0.9417 5822.3637 0.9999
"p((26, 1))_2" 0.6121 0.2295 0.0032 0.1882 0.9694 5796.3742 0.9999
"p((26, 1))_3" 0.6141 0.2336 0.0033 0.1724 0.9597 5778.7422 0.9999
"p((26, 1))_4" 0.6144 0.2344 0.0033 0.1715 0.9598 5773.5092 0.9999
"p((26, 1))_5" 0.6145 0.2345 0.0033 0.1713 0.9598 5772.1759 0.9999
"p((26, 1))_6" 0.6145 0.2345 0.0033 0.1713 0.9598 5771.8549 0.9999
"p((26, 1))_7" 0.6145 0.2345 0.0033 0.1713 0.9598 5771.7794 0.9999
"p((26, 1))_8" 0.6145 0.2345 0.0033 0.1713 0.9598 5771.7618 0.9999
"p((26, 1))_9" 0.6145 0.2345 0.0033 0.1713 0.9598 5771.7577 0.9999
"p((26, 1))_10" 0.6145 0.2345 0.0033 0.1713 0.9598 5771.7568 0.9999
